,state,state_income,region,region_url
0,al,49671,auburn,https://auburn.craigslist.org
106,al,49671,birmingham,https://bham.craigslist.org
620,al,49671,dothan,https://dothan.craigslist.org
677,al,49671,florence / muscle shoals,https://shoals.craigslist.org
729,al,49671,gadsden-anniston,https://gadsden.craigslist.org
754,al,49671,huntsville / decatur,https://huntsville.craigslist.org
1147,al,49671,mobile,https://mobile.craigslist.org
1239,al,49671,montgomery,https://montgomery.craigslist.org
1356,al,49671,tuscaloosa,https://tuscaloosa.craigslist.org
1371,ak,65677,anchorage / mat-su,https://anchorage.craigslist.org
2443,ak,65677,fairbanks,https://fairbanks.craigslist.org
2542,ak,65677,kenai peninsula,https://kenai.craigslist.org
2562,ak,65677,southeast alaska,https://juneau.craigslist.org
2564,az,55574,flagstaff / sedona,https://flagstaff.craigslist.org
2871,az,55574,mohave county,https://mohave.craigslist.org
2921,az,55574,phoenix,https://phoenix.craigslist.org
4021,az,55574,prescott,https://prescott.craigslist.org
4255,az,55574,show low,https://showlow.craigslist.org
4283,az,55574,sierra vista,https://sierravista.craigslist.org
4360,az,55574,tucson,https://tucson.craigslist.org
5525,az,55574,yuma,https://yuma.craigslist.org
5560,ar,50588,fayetteville,https://fayar.craigslist.org
5854,ar,50588,fort smith,https://fortsmith.craigslist.org
5887,ar,50588,jonesboro,https://jonesboro.craigslist.org
5939,ar,50588,little rock,https://littlerock.craigslist.org
6087,ar,50588,texarkana,https://texarkana.craigslist.org
6142,ca,76800,bakersfield,https://bakersfield.craigslist.org
6914,ca,76800,chico,https://chico.craigslist.org
7487,ca,76800,fresno / madera,https://fresno.craigslist.org
8268,ca,76800,gold country,https://goldcountry.craigslist.org
8425,ca,76800,hanford-corcoran,https://hanford.craigslist.org
8455,ca,76800,humboldt county,https://humboldt.craigslist.org
8495,ca,76800,imperial county,https://imperial.craigslist.org
8502,ca,76800,inland empire,https://inlandempire.craigslist.org
9214,ca,76800,los angeles,https://losangeles.craigslist.org
9882,ca,76800,mendocino county,https://mendocino.craigslist.org
9911,ca,76800,merced,https://merced.craigslist.org
10164,ca,76800,modesto,https://modesto.craigslist.org
10726,ca,76800,monterey bay,https://monterey.craigslist.org
11076,ca,76800,orange county,https://orangecounty.craigslist.org
11537,ca,76800,palm springs,https://palmsprings.craigslist.org
11945,ca,76800,redding,https://redding.craigslist.org
13283,ca,76800,sacramento,https://sacramento.craigslist.org
14190,ca,76800,san diego,https://sandiego.craigslist.org
14776,ca,76800,san luis obispo,https://slo.craigslist.org
15120,ca,76800,santa barbara,https://santabarbara.craigslist.org
15229,ca,76800,ventura county,https://ventura.craigslist.org
15298,ca,76800,santa maria,https://santamaria.craigslist.org
15360,ca,76800,SF bay area,https://sfbay.craigslist.org
16377,ca,76800,siskiyou county,https://siskiyou.craigslist.org
16385,ca,76800,stockton,https://stockton.craigslist.org
16987,ca,76800,susanville,https://susanville.craigslist.org
17308,ca,76800,visalia-tulare,https://visalia.craigslist.org
17395,ca,76800,yuba-sutter,https://yubasutter.craigslist.org
17525,co,70715,boulder,https://boulder.craigslist.org
17797,co,70715,colorado springs,https://cosprings.craigslist.org
18122,ne,61210,north platte,https://northplatte.craigslist.org
18682,co,70715,denver,https://denver.craigslist.org
19727,co,70715,eastern CO,https://eastco.craigslist.org
19736,co,70715,fort collins / north CO,https://fortcollins.craigslist.org
20431,co,70715,high rockies,https://rockies.craigslist.org
20450,co,70715,pueblo,https://pueblo.craigslist.org
20639,co,70715,western slope,https://westslope.craigslist.org
21017,ct,82885,eastern CT,https://newlondon.craigslist.org
21171,ct,82885,hartford,https://hartford.craigslist.org
21948,ct,82885,new haven,https://newhaven.craigslist.org
22322,ct,82885,northwest CT,https://nwct.craigslist.org
22354,dc,96659,"washington, DC",https://washingtondc.craigslist.org
23519,de,59846,delaware,https://delaware.craigslist.org
23694,fl,62136,daytona beach,https://daytona.craigslist.org
24171,fl,62136,florida keys,https://keys.craigslist.org
24193,fl,62136,ft myers / SW florida,https://fortmyers.craigslist.org
25238,fl,62136,gainesville,https://gainesville.craigslist.org
25524,fl,62136,heartland florida,https://cfl.craigslist.org
25539,fl,62136,jacksonville,https://jacksonville.craigslist.org
26093,fl,62136,lakeland,https://lakeland.craigslist.org
26375,fl,62136,north central FL,https://lakecity.craigslist.org
26382,fl,62136,ocala,https://ocala.craigslist.org
26631,fl,62136,okaloosa / walton,https://okaloosa.craigslist.org
26658,fl,62136,orlando,https://orlando.craigslist.org
27133,fl,62136,panama city,https://panamacity.craigslist.org
27157,fl,62136,pensacola,https://pensacola.craigslist.org
27320,fl,62136,sarasota-bradenton,https://sarasota.craigslist.org
27978,fl,62136,south florida,https://miami.craigslist.org
28300,fl,62136,space coast,https://spacecoast.craigslist.org
28519,fl,62136,st augustine,https://staugustine.craigslist.org
28580,fl,62136,tallahassee,https://tallahassee.craigslist.org
28710,fl,62136,tampa bay area,https://tampa.craigslist.org
29367,fl,62136,treasure coast,https://treasure.craigslist.org
29518,ga,55846,albany,https://albanyga.craigslist.org
29535,ga,55846,athens,https://athensga.craigslist.org
29690,ga,55846,atlanta,https://atlanta.craigslist.org
30360,ga,55846,augusta,https://augusta.craigslist.org
30401,ga,55846,brunswick,https://brunswick.craigslist.org
30402,ga,55846,columbus,https://columbusga.craigslist.org
30462,ga,55846,macon / warner robins,https://macon.craigslist.org
30487,ga,55846,northwest GA,https://nwga.craigslist.org
30505,ga,55846,savannah / hinesville,https://savannah.craigslist.org
30560,ga,55846,statesboro,https://statesboro.craigslist.org
30567,ga,55846,valdosta,https://valdosta.craigslist.org
30576,hi,60711,hawaii,https://honolulu.craigslist.org
31520,id,52276,boise,https://boise.craigslist.org
32771,id,52276,east idaho,https://eastidaho.craigslist.org
33218,id,52276,lewiston / clarkston,https://lewiston.craigslist.org
33545,id,52276,pullman / moscow,https://pullman.craigslist.org
34528,id,52276,twin falls,https://twinfalls.craigslist.org
34649,il,67165,bloomington-normal,https://bn.craigslist.org
34726,il,67165,champaign urbana,https://chambana.craigslist.org
34751,il,67165,chicago,https://chicago.craigslist.org
34877,wi,59787,milwaukee,https://milwaukee.craigslist.org
35408,il,67165,decatur,https://decatur.craigslist.org
35444,il,67165,la salle co,https://lasalle.craigslist.org
35446,il,67165,peoria,https://peoria.craigslist.org
35564,il,67165,"quad cities, IA/IL",https://quadcities.craigslist.org
35695,il,67165,rockford,https://rockford.craigslist.org
35960,il,67165,southern illinois,https://carbondale.craigslist.org
36141,il,67165,springfield,https://springfieldil.craigslist.org
36968,il,67165,western IL,https://quincy.craigslist.org
36969,in,56435,bloomington,https://bloomington.craigslist.org
36980,in,56435,evansville,https://evansville.craigslist.org
37061,in,56435,fort wayne,https://fortwayne.craigslist.org
37297,in,56435,indianapolis,https://indianapolis.craigslist.org
37862,in,56435,kokomo,https://kokomo.craigslist.org
37863,in,56435,lafayette / west lafayette,https://tippecanoe.craigslist.org
37894,in,56435,muncie / anderson,https://muncie.craigslist.org
37899,in,56435,richmond,https://richmondin.craigslist.org
37919,in,56435,south bend / michiana,https://southbend.craigslist.org
38277,in,56435,terre haute,https://terrehaute.craigslist.org
38279,ia,57080,ames,https://ames.craigslist.org
38403,ia,57080,cedar rapids,https://cedarrapids.craigslist.org
38727,ia,57080,des moines,https://desmoines.craigslist.org
39885,ia,57080,dubuque,https://dubuque.craigslist.org
39913,ia,57080,fort dodge,https://fortdodge.craigslist.org
39915,ia,57080,iowa city,https://iowacity.craigslist.org
39928,ia,57080,mason city,https://masoncity.craigslist.org
40595,ia,57080,sioux city,https://siouxcity.craigslist.org
40648,ia,57080,southeast IA,https://ottumwa.craigslist.org
40666,ia,57080,waterloo / cedar falls,https://waterloo.craigslist.org
41664,ks,58857,lawrence,https://lawrence.craigslist.org
41681,ks,58857,manhattan,https://ksu.craigslist.org
41708,ks,58857,northwest KS,https://nwks.craigslist.org
41710,ks,58857,salina,https://salina.craigslist.org
41719,ks,58857,southeast KS,https://seks.craigslist.org
41738,ks,58857,southwest KS,https://swks.craigslist.org
41757,ks,58857,topeka,https://topeka.craigslist.org
41846,ks,58857,wichita,https://wichita.craigslist.org
42122,ky,51298,bowling green,https://bgky.craigslist.org
42184,ky,51298,eastern kentucky,https://eastky.craigslist.org
42233,ky,51298,huntington-ashland,https://huntington.craigslist.org
42240,ky,51298,lexington,https://lexington.craigslist.org
42620,ky,51298,louisville,https://louisville.craigslist.org
42960,ky,51298,owensboro,https://owensboro.craigslist.org
42961,ky,51298,western KY,https://westky.craigslist.org
42979,la,54181,baton rouge,https://batonrouge.craigslist.org
43071,la,54181,central louisiana,https://cenla.craigslist.org
43081,la,54181,houma,https://houma.craigslist.org
43095,la,54181,lafayette,https://lafayette.craigslist.org
43100,la,54181,lake charles,https://lakecharles.craigslist.org
43105,la,54181,monroe,https://monroe.craigslist.org
43107,la,54181,new orleans,https://neworleans.craigslist.org
43375,la,54181,shreveport,https://shreveport.craigslist.org
43431,me,58272,maine,https://maine.craigslist.org
44018,md,69710,annapolis,https://annapolis.craigslist.org
44049,md,69710,baltimore,https://baltimore.craigslist.org
44817,md,69710,eastern shore,https://easternshore.craigslist.org
44829,md,69710,frederick,https://frederick.craigslist.org
44858,md,69710,southern maryland,https://smd.craigslist.org
44884,md,69710,western maryland,https://westmd.craigslist.org
44890,ma,83593,boston,https://boston.craigslist.org
45607,ma,83593,cape cod / islands,https://capecod.craigslist.org
45707,ma,83593,south coast,https://southcoast.craigslist.org
45787,ma,83593,western massachusetts,https://westernmass.craigslist.org
46040,ma,83593,worcester / central MA,https://worcester.craigslist.org
46427,mi,45887,ann arbor,https://annarbor.craigslist.org
46444,mi,45887,jackson,https://jxn.craigslist.org
46447,oh,56995,toledo,https://toledo.craigslist.org
46489,mi,45887,detroit metro,https://detroit.craigslist.org
46528,mi,45887,holland,https://holland.craigslist.org
46609,mi,45887,battle creek,https://battlecreek.craigslist.org
46687,mi,45887,central michigan,https://centralmich.craigslist.org
47246,mi,45887,flint,https://flint.craigslist.org
47375,mi,45887,grand rapids,https://grandrapids.craigslist.org
48329,mi,45887,kalamazoo,https://kalamazoo.craigslist.org
48486,mi,45887,lansing,https://lansing.craigslist.org
48534,mi,45887,monroe,https://monroemi.craigslist.org
48621,mi,45887,muskegon,https://muskegon.craigslist.org
48658,mi,45887,northern michigan,https://nmi.craigslist.org
48702,mi,45887,port huron,https://porthuron.craigslist.org
48729,mi,45887,saginaw-midland-baycity,https://saginaw.craigslist.org
48747,mi,45887,southwest michigan,https://swmi.craigslist.org
48786,mi,45887,the thumb,https://thumb.craigslist.org
48789,mi,45887,upper peninsula,https://up.craigslist.org
48862,mn,66232,bemidji,https://bemidji.craigslist.org
49075,mn,66232,brainerd,https://brainerd.craigslist.org
49198,mn,66232,duluth / superior,https://duluth.craigslist.org
49320,mn,66232,fargo / moorhead,https://fargo.craigslist.org
49416,mn,66232,st cloud,https://stcloud.craigslist.org
49536,mn,66232,mankato,https://mankato.craigslist.org
49640,mn,66232,minneapolis / st paul,https://minneapolis.craigslist.org
50625,mn,66232,rochester,https://rmn.craigslist.org
50779,mn,66232,southwest MN,https://marshall.craigslist.org
50924,ms,45887,gulfport / biloxi,https://gulfport.craigslist.org
50937,ms,45887,hattiesburg,https://hattiesburg.craigslist.org
50940,ms,45887,jackson,https://jackson.craigslist.org
50990,ms,45887,meridian,https://meridian.craigslist.org
50991,ms,45887,north mississippi,https://northmiss.craigslist.org
51004,ms,45887,southwest MS,https://natchez.craigslist.org
51005,mo,55310,columbia / jeff city,https://columbiamo.craigslist.org
51181,mo,55310,joplin,https://joplin.craigslist.org
51231,mo,55310,kansas city,https://kansascity.craigslist.org
51233,mo,55310,kirksville,https://kirksville.craigslist.org
51236,mo,55310,lake of the ozarks,https://loz.craigslist.org
51244,mo,55310,southeast missouri,https://semo.craigslist.org
51271,mo,55310,springfield,https://springfield.craigslist.org
51558,mo,55310,st joseph,https://stjoseph.craigslist.org
51575,mo,55310,st louis,https://stlouis.craigslist.org
51577,mt,56848,billings,https://billings.craigslist.org
51854,mt,56848,bozeman,https://bozeman.craigslist.org
51988,mt,56848,butte,https://butte.craigslist.org
52005,mt,56848,eastern montana,https://montana.craigslist.org
52014,mt,56848,great falls,https://greatfalls.craigslist.org
52110,mt,56848,helena,https://helena.craigslist.org
52172,mt,56848,kalispell,https://kalispell.craigslist.org
52291,mt,56848,missoula,https://missoula.craigslist.org
52474,nc,56095,asheville,https://asheville.craigslist.org
52752,nc,56095,boone,https://boone.craigslist.org
52835,nc,56095,charlotte,https://charlotte.craigslist.org
53342,nc,56095,eastern NC,https://eastnc.craigslist.org
53525,nc,56095,fayetteville,https://fayetteville.craigslist.org
53659,nc,56095,greensboro,https://greensboro.craigslist.org
53919,nc,56095,hickory / lenoir,https://hickory.craigslist.org
53982,nc,56095,jacksonville,https://onslow.craigslist.org
53990,nc,56095,outer banks,https://outerbanks.craigslist.org
54014,nc,56095,raleigh / durham / CH,https://raleigh.craigslist.org
54410,nc,56095,wilmington,https://wilmington.craigslist.org
54485,nc,56095,winston-salem,https://winstonsalem.craigslist.org
54558,ne,61210,grand island,https://grandisland.craigslist.org
54667,ne,61210,lincoln,https://lincoln.craigslist.org
54799,ne,61210,omaha / council bluffs,https://omaha.craigslist.org
54812,ne,61210,scottsbluff / panhandle,https://scottsbluff.craigslist.org
54820,nv,60167,elko,https://elko.craigslist.org
54836,nv,60167,las vegas,https://lasvegas.craigslist.org
55375,nv,60167,reno / tahoe,https://reno.craigslist.org
55383,nj,77009,central NJ,https://cnj.craigslist.org
56697,nj,77009,jersey shore,https://jerseyshore.craigslist.org
56873,nj,77009,north jersey,https://newjersey.craigslist.org
57706,nj,77009,south jersey,https://southjersey.craigslist.org
58369,nm,50292,albuquerque,https://albuquerque.craigslist.org
58778,nm,50292,clovis / portales,https://clovis.craigslist.org
58786,nm,50292,farmington,https://farmington.craigslist.org
58793,nm,50292,las cruces,https://lascruces.craigslist.org
58842,nm,50292,roswell / carlsbad,https://roswell.craigslist.org
58853,nm,50292,santa fe / taos,https://santafe.craigslist.org
58928,ny,76753,albany,https://albany.craigslist.org
59194,ny,76753,binghamton,https://binghamton.craigslist.org
59266,ny,76753,buffalo,https://buffalo.craigslist.org
59580,ny,76753,catskills,https://catskills.craigslist.org
59583,ny,76753,chautauqua,https://chautauqua.craigslist.org
59614,ny,76753,elmira-corning,https://elmira.craigslist.org
59623,ny,76753,finger lakes,https://fingerlakes.craigslist.org
59691,ny,76753,glens falls,https://glensfalls.craigslist.org
59711,ny,76753,hudson valley,https://hudsonvalley.craigslist.org
59918,ny,76753,ithaca,https://ithaca.craigslist.org
59928,ny,76753,long island,https://longisland.craigslist.org
60526,ny,76753,new york city,https://newyork.craigslist.org
61038,ny,76753,oneonta,https://oneonta.craigslist.org
61043,ny,76753,plattsburgh-adirondacks,https://plattsburgh.craigslist.org
61098,ny,76753,potsdam-canton-massena,https://potsdam.craigslist.org
61129,ny,76753,rochester,https://rochester.craigslist.org
61415,ny,76753,syracuse,https://syracuse.craigslist.org
61419,ny,76753,watertown,https://watertown.craigslist.org
61533,ny,76753,twin tiers NY/PA,https://twintiers.craigslist.org
61534,ny,76753,utica-rome-oneida,https://utica.craigslist.org
61684,nh,73279,new hampshire,https://nh.craigslist.org
62064,nd,64276,bismarck,https://bismarck.craigslist.org
62066,nd,64276,grand forks,https://grandforks.craigslist.org
62114,nd,64276,north dakota,https://nd.craigslist.org
62116,oh,56995,akron / canton,https://akroncanton.craigslist.org
62895,oh,56995,ashtabula,https://ashtabula.craigslist.org
62964,oh,56995,athens,https://athensohio.craigslist.org
62969,oh,56995,chillicothe,https://chillicothe.craigslist.org
63031,oh,56995,cincinnati,https://cincinnati.craigslist.org
63847,oh,56995,cleveland,https://cleveland.craigslist.org
64174,oh,56995,columbus,https://columbus.craigslist.org
64520,oh,56995,dayton / springfield,https://dayton.craigslist.org
64641,oh,56995,lima / findlay,https://limaohio.craigslist.org
64681,oh,56995,mansfield,https://mansfield.craigslist.org
64739,oh,56995,northern panhandle,https://wheeling.craigslist.org
64780,oh,56995,parkersburg-marietta,https://parkersburg.craigslist.org
64787,oh,56995,sandusky,https://sandusky.craigslist.org
64998,oh,56995,youngstown,https://youngstown.craigslist.org
65195,oh,56995,zanesville / cambridge,https://zanesville.craigslist.org
65200,ok,53808,lawton,https://lawton.craigslist.org
65210,ok,53808,northwest OK,https://enid.craigslist.org
65218,ok,53808,oklahoma city,https://oklahomacity.craigslist.org
65762,ok,53808,stillwater,https://stillwater.craigslist.org
65764,ok,53808,texoma,https://texoma.craigslist.org
65778,ok,53808,tulsa,https://tulsa.craigslist.org
66229,or,61449,bend,https://bend.craigslist.org
67101,or,61449,corvallis/albany,https://corvallis.craigslist.org
67242,or,61449,east oregon,https://eastoregon.craigslist.org
67522,or,61449,eugene,https://eugene.craigslist.org
68177,or,61449,klamath falls,https://klamath.craigslist.org
68192,or,61449,medford-ashland,https://medford.craigslist.org
68484,or,61449,oregon coast,https://oregoncoast.craigslist.org
68602,or,61449,portland,https://portland.craigslist.org
69745,or,61449,roseburg,https://roseburg.craigslist.org
69771,or,61449,salem,https://salem.craigslist.org
70150,pa,64042,altoona-johnstown,https://altoona.craigslist.org
70158,pa,64042,lancaster,https://lancaster.craigslist.org
70165,pa,64042,harrisburg,https://harrisburg.craigslist.org
70194,pa,64042,cumberland valley,https://chambersburg.craigslist.org
70195,pa,64042,erie,https://erie.craigslist.org
70553,pa,64042,lehigh valley,https://allentown.craigslist.org
70735,pa,64042,meadville,https://meadville.craigslist.org
70742,pa,64042,philadelphia,https://philadelphia.craigslist.org
71012,pa,64042,pittsburgh,https://pittsburgh.craigslist.org
71580,pa,64042,poconos,https://poconos.craigslist.org
71672,pa,64042,reading,https://reading.craigslist.org
71697,pa,64042,scranton / wilkes-barre,https://scranton.craigslist.org
71854,pa,64042,state college,https://pennstate.craigslist.org
71893,pa,64042,williamsport,https://williamsport.craigslist.org
71908,pa,64042,york,https://york.craigslist.org
72052,ri,64296,rhode island,https://providence.craigslist.org
72283,sc,52441,charleston,https://charleston.craigslist.org
72387,sc,52441,columbia,https://columbia.craigslist.org
72469,sc,52441,florence,https://florencesc.craigslist.org
72475,sc,52441,greenville / upstate,https://greenville.craigslist.org
72838,sc,52441,hilton head,https://hiltonhead.craigslist.org
72848,sc,52441,myrtle beach,https://myrtlebeach.craigslist.org
73056,sd,64405,northeast SD,https://nesd.craigslist.org
73058,sd,64405,pierre / central SD,https://csd.craigslist.org
73061,sd,64405,rapid city / west SD,https://rapidcity.craigslist.org
73146,sd,64405,sioux falls / SE SD,https://siouxfalls.craigslist.org
73282,sd,64405,south dakota,https://sd.craigslist.org
73303,tn,56616,chattanooga,https://chattanooga.craigslist.org
73468,tn,56616,clarksville,https://clarksville.craigslist.org
73584,tn,56616,cookeville,https://cookeville.craigslist.org
73590,tn,56616,jackson,https://jacksontn.craigslist.org
73661,tn,56616,knoxville,https://knoxville.craigslist.org
74107,tn,56616,memphis,https://memphis.craigslist.org
74217,tn,56616,nashville,https://nashville.craigslist.org
74911,tn,56616,tri-cities,https://tricities.craigslist.org
75029,tx,59802,abilene,https://abilene.craigslist.org
75105,tx,59802,amarillo,https://amarillo.craigslist.org
75138,tx,59802,austin,https://austin.craigslist.org
75738,tx,59802,beaumont / port arthur,https://beaumont.craigslist.org
75762,tx,59802,brownsville,https://brownsville.craigslist.org
75820,tx,59802,college station,https://collegestation.craigslist.org
75843,tx,59802,corpus christi,https://corpuschristi.craigslist.org
75998,tx,59802,dallas / fort worth,https://dallas.craigslist.org
76683,tx,59802,deep east texas,https://nacogdoches.craigslist.org
76695,tx,59802,del rio / eagle pass,https://delrio.craigslist.org
76721,tx,59802,el paso,https://elpaso.craigslist.org
77099,tx,59802,galveston,https://galveston.craigslist.org
77114,tx,59802,houston,https://houston.craigslist.org
77650,tx,59802,killeen / temple / ft hood,https://killeen.craigslist.org
77732,tx,59802,laredo,https://laredo.craigslist.org
77869,tx,59802,lubbock,https://lubbock.craigslist.org
77975,tx,59802,mcallen / edinburg,https://mcallen.craigslist.org
78050,tx,59802,odessa / midland,https://odessa.craigslist.org
78130,tx,59802,san angelo,https://sanangelo.craigslist.org
78160,tx,59802,san antonio,https://sanantonio.craigslist.org
78841,tx,59802,san marcos,https://sanmarcos.craigslist.org
78847,tx,59802,tyler / east TX,https://easttexas.craigslist.org
79041,tx,59802,victoria,https://victoriatx.craigslist.org
79061,tx,59802,waco,https://waco.craigslist.org
79205,tx,59802,wichita falls,https://wichitafalls.craigslist.org
79231,ut,56000,logan,https://logan.craigslist.org
79244,ut,56000,ogden-clearfield,https://ogden.craigslist.org
79246,ut,56000,provo / orem,https://provo.craigslist.org
79261,ut,56000,salt lake city,https://saltlakecity.craigslist.org
79310,ut,56000,st george,https://stgeorge.craigslist.org
79425,vt,61748,vermont,https://vermont.craigslist.org
79912,va,66190,charlottesville,https://charlottesville.craigslist.org
80026,va,66190,danville,https://danville.craigslist.org
80043,va,66190,fredericksburg,https://fredericksburg.craigslist.org
80324,va,66190,harrisonburg,https://harrisonburg.craigslist.org
80376,va,66190,lynchburg,https://lynchburg.craigslist.org
80394,va,66190,new river valley,https://blacksburg.craigslist.org
80404,va,66190,norfolk / hampton roads,https://norfolk.craigslist.org
80805,va,66190,richmond,https://richmond.craigslist.org
81198,va,66190,roanoke,https://roanoke.craigslist.org
81450,va,66190,southwest VA,https://swva.craigslist.org
81452,va,66190,winchester,https://winchester.craigslist.org
81584,wa,73755,bellingham,https://bellingham.craigslist.org
82527,wa,73755,kennewick-pasco-richland,https://kpr.craigslist.org
82825,wa,73755,moses lake,https://moseslake.craigslist.org
82857,wa,73755,olympic peninsula,https://olympic.craigslist.org
82925,wa,73755,seattle-tacoma,https://seattle.craigslist.org
84135,wa,73755,skagit / island / SJI,https://skagit.craigslist.org
84206,wa,73755,spokane / coeur d'alene,https://spokane.craigslist.org
84233,wa,73755,wenatchee,https://wenatchee.craigslist.org
84463,wa,73755,yakima,https://yakima.craigslist.org
84751,wv,48418,charleston,https://charlestonwv.craigslist.org
84757,wv,48418,eastern panhandle,https://martinsburg.craigslist.org
84771,wv,48418,morgantown,https://morgantown.craigslist.org
84788,wv,48418,southern WV,https://swv.craigslist.org
84790,wi,59787,appleton-oshkosh-FDL,https://appleton.craigslist.org
85218,wi,59787,eau claire,https://eauclaire.craigslist.org
85318,wi,59787,green bay,https://greenbay.craigslist.org
85527,wi,59787,janesville,https://janesville.craigslist.org
85548,wi,59787,kenosha-racine,https://racine.craigslist.org
85576,wi,59787,la crosse,https://lacrosse.craigslist.org
85597,wi,59787,madison,https://madison.craigslist.org
86571,wi,59787,northern WI,https://northernwi.craigslist.org
86589,wi,59787,sheboygan,https://sheboygan.craigslist.org
86677,wi,59787,wausau,https://wausau.craigslist.org
86811,wy,86552,wyoming,https://wyoming.craigslist.org
